Timestamp,SubjectID,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,ActivityLabel,IsFallEvent
2026-08-20T10:00:00Z,UCI_HAR-SUBJ-01,0.1735,9.4177,0.5734,0.0178,0.077,-0.0364,WALKING,0
2026-08-20T10:00:01Z,UCI_HAR-SUBJ-01,0.8356,9.7005,-0.1077,0.062,0.1135,0.0262,WALKING,0
2026-08-20T10:00:02Z,UCI_HAR-SUBJ-01,0.2617,9.825,0.8689,0.0277,0.0741,0.007,WALKING,0
2026-08-20T10:00:03Z,UCI_HAR-SUBJ-01,0.3089,9.6387,0.4685,-0.013,-0.0185,-0.0688,WALKING,0
2026-08-20T10:00:04Z,UCI_HAR-SUBJ-01,0.0227,8.7161,0.399,-0.0125,-0.048,-0.0291,WALKING,0
2026-08-20T10:00:05Z,UCI_HAR-SUBJ-01,0.3898,9.7702,0.2336,0.1754,-0.0042,-0.0518,WALKING,0
2026-08-20T10:00:06Z,UCI_HAR-SUBJ-01,0.5798,9.756,0.4885,0.0548,-0.0287,0.0079,WALKING,0
2026-08-20T10:00:07Z,UCI_HAR-SUBJ-01,0.0604,10.6822,-0.2291,0.0167,0.0445,0.0112,WALKING,0
2026-08-20T10:00:08Z,UCI_HAR-SUBJ-01,0.4098,9.5753,0.063,0.0248,0.0217,-0.0571,WALKING,0
2026-08-20T10:00:09Z,UCI_HAR-SUBJ-01,0.6675,9.7686,1.1785,0.005,0.0627,0.0322,WALKING,0
2026-08-20T10:00:10Z,UCI_HAR-SUBJ-01,0.3921,10.2484,0.3616,0.0591,0.0059,0.0534,WALKING,0
2026-08-20T10:00:11Z,UCI_HAR-SUBJ-01,0.4007,9.8972,0.7617,0.0506,0.0577,-0.0085,WALKING,0
2026-08-20T10:00:12Z,UCI_HAR-SUBJ-01,0.6564,9.5605,0.5984,0.0688,0.1017,-0.0432,WALKING,0
2026-08-20T10:00:13Z,UCI_HAR-SUBJ-01,-0.1899,9.4232,0.4933,-0.067,0.0178,-0.1033,WALKING,0
2026-08-20T10:00:14Z,UCI_HAR-SUBJ-01,0.5041,10.0518,0.0767,-0.0029,-0.0351,-0.0373,WALKING,0
2026-08-20T10:00:15Z,UCI_HAR-SUBJ-01,0.1892,10.4435,0.7367,0.0133,0.0314,-0.0645,WALKING,0
2026-08-20T10:00:16Z,UCI_HAR-SUBJ-01,-0.0586,9.7838,0.4243,0.0712,-0.0242,-0.0345,WALKING,0
2026-08-20T10:00:17Z,UCI_HAR-SUBJ-01,-0.1005,9.6462,1.201,-0.0169,0.0501,-0.0761,WALKING,0
2026-08-20T10:00:18Z,UCI_HAR-SUBJ-01,0.1382,9.333,0.0181,0.0362,0.0274,-0.0236,WALKING,0
2026-08-20T10:00:19Z,UCI_HAR-SUBJ-01,0.2505,9.3575,0.3474,0.0166,-0.0366,-0.0456,WALKING,0
